runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	2390	2626	2537.39	33.9094	3267	0	4
2	2369	2656	2535.67	35.9972	3303	0	4
3	2399	2624	2532.58	32.78	3317	0	4
4	2389	2640	2535.9	33.0657	3325	0	4
5	2397	2657	2533.82	32.0317	3308	1	4
6	2379	2633	2529.01	34.5353	3295	0	4
7	2390	2641	2537.2	33.2333	3313	0	4
8	2389	2635	2539.56	31.1688	3300	0	4
9	2391	2654	2530.84	35.5465	3300	0	4
10	2379	2644	2535.86	36.2148	3267	1	4
11	2380	2661	2535.79	34.8995	3283	0	4
12	2396	2662	2540.22	33.7992	3219	0	4
13	2377	2626	2535.29	36.915	3289	1	4
14	2405	2644	2540.53	34.0059	3293	0	4
15	2384	2629	2537.02	34.61	3314	0	4
